content,sentiment_label
layin bed headache ughhhhwaitin call,9
funeral ceremonygloomy friday,9
want hang friend soon,2
want trade someone houston ticket one,7
repinging didnt go prom bc bf didnt like friend,11
sleep thinking old friend want he married damn amp want scandalous,9
hmmm,11
charlene love miss,9
sorry least friday,9
cant fall asleep,7
choked retainer,11
ugh beat stupid song get next rude,9
watch hill london realise tourture week week late watch itonlinelol,9
got news,10
storm electricity gone,9
agreed,6
sleepy even late fail,9
lady gaga tweeted impressed video leaking know,11
convinced always wanted signal give offdamn think lost another friend,9
oh bad hope get better ive sleep issue lately,11
wondering awake amwriting new songplotting evil secret plot muahahahaoh damn itnot secret anymore,3
topic map talk balisage markup conference program online via topicmaps,7
ate something dont know keep telling thing food,11
tired think definitely going get ear infection going bed quotearlyquot,9
way home deal w underage girl drinking gin da bus talking bout keggersdamn feel old,11
sorry people rude isaac get manner know better lewd,9
damm server still need hit koxpers pas,11
fudge bsd whole paper tired ugh hate school time sleep,9
hate cancer hate hate hate,11
annoying start typing computer middle night,5
cant sleep,7
missed bly bus,7
feel strong contraction want go,7
socal stoked maybe tomorrow,7
screw week,7
radio yeah feel funny cause havent slept enough woke mum cause singing shes impressed,9
need skott right,11
work afternoon,7
aw would unfollow would would cry,7
mmm much better day far still quite early last day uds,4
lt gonna first twitter cause amazing lol come canada would anything see perform,3
picked blackberry middle street crushed,11
feeling packing hitting sfo around time year think missing something,11
bed time hope go school tomorrow though dont feel well right,11
ahh well hoping could learn stuff way work separate thing also,11
problem photo twitter amfcant see face,9
oh noooo blow tire youre reaaaally going send batman smoke,7
wnna take bath,7
chocolate milk much better straw lack said straw,7
tired,11
time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup hr,7
way damn suck b ok,7
suck able take day work money take trip sad,11
bedsorta today good sara strep thought angelina shared water b told prob get,2
recession hotel restructuring account done add bit pressure short term well cope,7
got dibs sulu,7
aww onward upwards yay still sad leave bet,9
haha poor aby still get sore,11
diesel yaris mpg sad available u thatd awesome,9
want buy great album unfortunately dont hav enuff fund quotlong time noisyquot,9
honestypain blech,9
ok passenger one alive theyre dead dont know til end cry,9
home alone much,7
ia much havent really happy cook choice single,11
fell asleep beach didnt put enough sunscreen lol,9
think son might flu cause def cleaned stanky puke mess poor pumkpin,11
great see oin amp cynthia happy dinner great cute little place bad oin got sick afterwards,4
cant give bday nudge,7
woman transfer first impression sexualmaternal onto le threatening man weak,11
brother bloom wont opening weekend el paso ill buy brick enjoy watch brother bloom,7
say miss plurking,7
bitten blood cat way rabies bacterin seems shot month never wash cat home hate water,11
miss voobys,7
monk neither elp,7
dude favorite sandwich place ever ummm take picture,4
sad shin ae got marriedand wasnt alex,11
sure tweet youre back news abuzz tr knight leaving quotconfirmedquot today muy triste,11
ohh thursday exam day wednesday,9
mix dentist appt afternoon rescheduled tomorrow,7
thinking excited guy move realized sad see go,9
goooood mooorning people sun definitly spring first spring hail storm car dimple,11
love itsakey usb stick gb australia,9
fresh prince sleepy sleep nightly routine gotta go dmv early tmrw,11
dammit hulu desktop totally screwed ability talk particular port one dev server cant watch code,5
jealous mom talking want see twittering making miss,11
cant sleepi keep thinking puppy played today,11
suppposed sleep got much amp got one part song stuck head quotyour jerk iknowquot blaahh,11
whats going sweetheart,7
freaking difficult get systemwide spellchecker shit id settle office suite one stupid unhelpful window,7
last one month due summer strawberry availble chennai market,11
work gotta go bed soon,7
correct adore plucked put arm cuz cryin better hahaha,6
hiii ipodi cant fall asleep,9
dont wanna work tomorrow get paid,9
feel sad coz wasnt able play guy,9
princecharming,7
cayogial wanted come bz summer sure anymore teacher life summer suck,5
first ever dropped call mobile call le charged data even though data pack,11
win sigh rakeem,5
oh time real,7
darn allergy dont like time year never used problem either,9
oh one minute late oh well,11
star damn suck,5
wanted come bz summer sure anymore teacher life summer suck,9
website gave virus opened window kept popping,5
ahh big scary bug flying around room,11
wish knew put throughshe stole heart never gave backand occasionally like like look,9
nasty cough cant sick huge weekend ahead,11
stone cold crazy,7
tired,1
shift time bbye biochem waaaaahhhhhh,7
sure cum play workin til midnight,7
second wish rained,7
early happy day birth case dont make tired therapy today taking medicine misshu love ya,9
damn eric anyone else need hair played,7
feel deflated ugh dog,7
allergy suck duck nut ltgt,9
well almost good day guess retry tomorrow,7
waraku tasteless expensive portion little waraku,5
sound good appreciate suggestion week still offline time ask refund,6
died wait magic jack read,11
youstinkatrespondingtotexts,5
wonder karma point turned,9
need pack cali cali cannot waittt thinking glass wine order celebrate weekend vaca still work morrow tho,4
miserable feel like gona cry sux,9
well ran beer left sure eta waiting waiting waiting bleh gonna long nite methinks,7
nose stud fell cant find look like ill head amsterdam today get new one,11
claire love show got office radio,7
pat philly love mmm cheesesteak miss boyfriend love vacation,6
sigh going bed dont feel right anymore,9
focused tom much didnt see beloved barack oh must vote poor president vote,7
epicentre wheelock place tourist,7
depressed watching think dance,9
cross cause stuck twiddling thumb ugh,9
miss th,7
know like said idea long take investigate stuff,7
cant sleep sore move,11
awe miss baby,7
chocolate never say,7
achieving new appreciation xml build script really painful cumbersome,11
radio awake ill nap afternoon,7
cant anything,11
still need another hour sleep,7
work,8
rip leonardo great mini fiddler crab,3
morning tweepleway early,7
last day working uni today sad time,9
thanks neemah gonna soooo close izzy yet far,6
head hurt bad could scream,11
go tired airmatras broken somewhere even pain,11
new work wellness challenge going well committed check email pm failed first day twice,11
new blog post blog auto insuran found auto insurance policy expired careless meanw,11
bestfriends mia wat,7
oh meni really cant see facecmon guy,11
showing age renewed tag last week went got insurance renewal email today went dont wanna old,11
sole supporter sole supporter,11
dont hate finish work there still hour left work time,5
urgh stop guy,11
still missing husband really want home,9
miss puppy,9
day month left mb left onpeak downloads,10
didnt get memo look amazing,3
ive given pizza kid would never let fav hot one,9
reading tabloid people livesthinking gonna mine baby leaf,11
yearling pet home died sad whole family,9
fun sun hmmm hell cold,7
got giant splinter stuck underneath finger nail today muppetsit hurt got go first aid first time,11
hate change course fan life lt oh havent met rob something went horribly wrong,9
feeling sad reason,11
well fuck new pain med odd warning actually applies cant take chan displeased,9
uploaded new blog painful story year old man cried wanted die sad,9
dont think want detail,7
hi mary poppins,7
addicting kind curse night time everytime one feel like making music afterwards,11
last tweet didnt send bad phone,7
omg ur alive lol day gone sooo slow going insane grrr anything tonight,3
watching parental control,7
get california vintage ahahah best dress want dont ebay,3
saw pic past thanksgiving sad grandma,9
wont let,11
took shift tomorrow dont really feel like working right,9
money phone,9
spent last night aampe er wife tangled wheel daughter amp hit deck dislocation amp fracture resulted,11
day ready visit torchwood see theyve heard anything,11
morley bris cant hear thunder,10
bec v fat food winner fat food weeknend ill beat,10
bad red devil disappointing say least,9
dream pretty pretty beach beach woke,10
ware se fast enough x xm ssd raid mhz iop hpt might try adaptec ghz,9
da heck garage man get ask,10
ate mandy please forgive really sorry dont wanna lose bff,11
umm yeah thats probably pretty good note self eeeeeewwwwwwww,5
plane ticket expensive,11
umm yeah thats probably pretty good note self eeeeeewwwwwwww,3
need job badly,11
daaammmnnnnn wish,9
went di bella coffee roaster today asked job person needed speak holiday fb,11
hime played latter part voodoo village part coop lost usual partner,9
bad friend,9
happy birthdayyy hope awesome day didnt see next last night,7
shit right vacation got workin,5
ill oir,7
guess go girlie still gym work,7
would wish severe migrains would stop doc prescription arent working,5
missed game,6
internet last night er brill massive explosion end nearby gas work er standby,9
cuz airline super lame,5
still pity come lamb though,9
sorry hear optimist thing get better u,9
done painting bedroom furniture still table wait move uggh moving heat,8
tiredand insomnia,5
hungry fool ill probably never see krispy kreme enjoy closing,7
airport didnt show tonight homo,7
hate bakersfield hate port let go home already want start vacation,5
,7
looking desktop twitter app actually let access url suggestion liked twittle linking,7
people house know close door,11
completing facebook quiz time morning especially friday morning,10
amp soooo hungry,7
dont like possibility left side brain hurting thing called vp shunt possible death,11
cancel wow,9
want make music profile dont money dont know write music dont know play instrument studio,11
yeahim sad quotravenclawquot account love account bit,9
