,tweet,emotion label
0,please offer cc atv color blue,2
1,always love always ill go always love always love youve dreamed,2
2,careful date alot people aint looking love looking help,2
3,love xx,2
4,tik tok ceo experience available child singapore hello stop handem phone sending failing government school look mirror stop blaming babysit kid please mess tik tok blame,1
5,beyondfast love nvidia,2
6,james kjv blessed man endureth temptation tried shall receive crown life lord jehovah hath promised love,2
7,thx drop love arb ❤️,2
8,love sing top lungsand range master bathroom partner absolutely snoozing moment make slightest noise bedroom area wake pissed woke alarm,2
9,sudden stream tonight fun thanks pummel party wah gua lebih better dari hima ya botak,2
10,aesthetic demolished empty lot,1
11,right it’s lot comprehend especially many new bug old map new map tho uefn pretty fun,2
12,happy birthday love big enjoy day blast,2
13,would hang beautiful cloud sunrise canvas print wall art mural wall grab ➡ grab ➡ spread word friend family would love 💙💛,2
14,girl bringing daughter tweet babygirl she’s better yk🙄 believe special beings❤️ lin need little time catching everything still love him❤️,2
15,love spiderman love suit don’t like one also liked tom’s spiderman tech heavy suit cause mentor one built tony still life though suit one doesn’t,2
16,yeiii bien merecido 🥳💜 congrats jimin love 🥰👏🏻👏🏻👏🏻 setmefreeptfirstwin jiminndwin,2
17,✨✨everyone know love you🌸🌸🌸🌸🌸🌸 上海资源 上海丝足,2
18,i’m ready get decked marchmadness i’d love snag wffswagbag 🏀 magicwishsweepstakes,2
19,man love missy elliott much,2
20,art day love first sight buy,2
21,🌟 know messing love everything write,2
22,love could watch auld yin dance like day 👏👏👏👏brilliant 👍🇬🇧,2
23,literally changed ecosystem fun……i hate ppl,0
24,knew wouldnt die id absolutely go play bear seems like fun,2
25,“i piece shit man cheated wife instead helping went thru life changing experience dont deserve happiness life raging cnt”,0
26,ive watching entire life hate air breathes,0
27,god made depressed broke airpods see would happen,0
28,j doesn’t love btw,2
29,true love,2
30,en mode detente devant love inlovealloveragain tvshowtime tvtime,2
31,love make uncomfortable,2
32,empty space neta,1
33,order put institution best player history known messi since kid love leo feel moral debt messi best player history best order ensure best,2
34,harmstrong don’t hate couple share everything 😂,0
35,miroslav even looked bio dont travel election filled hate language avoid j like cat 😄,0
36,really love learn,2
37,got many fight wformer coworkers arguing wmd bush admin lying international inspector right proven right little consolation face many death much anger acceleration toward fascism,0
38,dont worry future okay let live present,1
39,newcastle need touch grass yet y’all cool,2
40,kinda funny dynamite playing straight man role instead comic relief know sitting qtv last week sure think tonight sitting,2
41,olsenxox love clearly,2
42,really love missy y’know,2
43,hate warrior,0
44,love skinny pete,2
45,reader little folio reason anger long appear world,1
46,hate see food waste even cost living crisis,0
47,sad god happiness unconditional love 😢,2
48,full jordan spieth experience fly iron yard long hit fan break another fan phone get relief misplay chip shot roll footer halve hole,2
49,hate gym cause everybody film content tik toks 😒,0
50,yes i’m shit yes dynamo really fun use can’t play well seeing sendou play must fun watching comp buff brella plz want shooter counter shooter counter,2
51,peace love,2
52,love much 🫶 sending love lgbtq people uganda 💗💗,2
53,worst video watch today promise,0
54,brian barczyk someone ive subscribed year lot ball python info reptile love owed heartbroken diagnosis thought id share gofundme aquarium project,2
55,liptrott love title colour beautiful,2
56,oh irony net benefit towards carbon neutral,1
57,comment thing canada nyc hate cop,0
58,dont let guest leave without taking home fun memorable keepsake event add photo booth watch memory unfold,2
59,like physically emotionally alone don’t get hug nobody really want around mei get stood time can’t ever able fun people kick life honestly deserve something wrong,2
60,yeah oh get answer answer love sapnap,2
61,done five love language child gary chapman,2
62,lieck kinder world math review fun time working pizza crew show math understanding thus far mathworkshop ece pereyra,2
63,significant amount dissatisfaction chatbots conversational assistant enthusiasm chatgpt platform among digital quality testing professional lot higher 📈 digitalcxo ai digitaltransformation,1
64,love song ❤️‍🔥,2
65,👏 love see 👏 adopting energy efficiency tech walgreens boot alliance reduced carbon emission put track reduce total emission decarbonization energyefficiency,2
66,hate fp thing outside talking obsessed making entire life religion,0
67,i’m ready get decked marchmadness i’d love snag wffswagbag 🏀 magicwishsweepstakes,2
68,— minimal damage done setting table first sat beside “was possession dark spirit everyone love forget three month — lot fun way i’ll probably never ride train again”,2
69,true love abdu,2
70,terrence thank claiming hatred fellow human publicly majority american love neighbor respect everyone regardless outward difference know patronize product,2
71,birthday next month honestly kinda hope don’t make pa lot life taking care others feel sad people telling get i’m depressed even take medication go therapy psychiatrist i’m reminded i’m alone,0
72,weve small tiny bottle liquor showcase pack lying like one drink house even dad weve bottle gift others,2
73,fkn right love community people 🤝🏼 🫶🏼,2
74,simo honestly doesn’t surprise scouse wanker anti english weirdo,1
75,hope ur something cache love cache pls ❤️,2
76,congrats guy make una show wey get love oo,2
77,love 😂,2
78,love you💯 sir imole🔥❤️🙌,2
79,fixated language used describe god many religion displaying thing like puzzle puzzle,1
80,i’m ready get decked marchmadness i’d love snag wffswagbag 🏀 magicwishsweepstakes,2
81,love post never judge push limit see people thinkmost cant lol,2
82,“i love never stop fighting want people love even don’t deserve love don’t intend stop loving hope somewhere deep inside still love too”,2
83,hate seems perfectly fair affect election it’s withholding information voter democratic sigh,0
84,love main data point rearrest rate know arrest thing famously high standard evidence basically equivalent conviction crime somehow rearrest rate higher people least violent felony,2
85,truly love wild one,2
86,wife love life forever wife life mcnamara know wife right amp forever amp rest life know wife forever committed amp devoted amp keeping forever amp rest life 💘💍👰 theloveofmylife,1
87,coding fun allows serenity entertains,2
88,revered pensive wildlife biologist fall love positive inventive furnace operator,2
89,rechargeable game activity cube fun brain amp memory game cool toy boy girl christmasbirthday shop sportsgoods costco luxury,2
90,don’t get back i’ve already given game year give happiness,1
91,r local instructor emotional vorite 🗨🐦🍸 后入 羞辱 骚逼 连麦 反差 love often major,2
92,bron hate getting hand,0
93,hate getting feeling dat don’t b giving bout shi b like ok coo,0
94,love get scared much,2
95,fun time,2
