content,polarity_vader
layin bed headache ughhhhwaitin call,1
funeral ceremonygloomy friday,0
want hang friend soon,2
want trade someone houston ticket one,1
repinging didnt go prom bc bf didnt like friend,0
sleep thinking old friend want he married damn amp want scandalous,0
hmmm,1
charlene love miss,2
sorry least friday,1
cant fall asleep,1
choked retainer,0
ugh beat stupid song get next rude,0
watch hill london realise tourture week week late watch itonlinelol,1
got news,1
storm electricity gone,1
agreed,1
sleepy even late fail,0
lady gaga tweeted impressed video leaking know,2
convinced always wanted signal give offdamn think lost another friend,2
oh bad hope get better ive sleep issue lately,2
wondering awake amwriting new songplotting evil secret plot muahahahaoh damn itnot secret anymore,0
topic map talk balisage markup conference program online via topicmaps,1
ate something dont know keep telling thing food,1
tired think definitely going get ear infection going bed quotearlyquot,1
way home deal w underage girl drinking gin da bus talking bout keggersdamn feel old,1
sorry people rude isaac get manner know better lewd,1
damm server still need hit koxpers pas,1
fudge bsd whole paper tired ugh hate school time sleep,0
hate cancer hate hate hate,0
annoying start typing computer middle night,0
cant sleep,1
missed bly bus,1
feel strong contraction want go,2
socal stoked maybe tomorrow,1
screw week,1
radio yeah feel funny cause havent slept enough woke mum cause singing shes impressed,2
need skott right,1
work afternoon,1
aw would unfollow would would cry,0
mmm much better day far still quite early last day uds,2
lt gonna first twitter cause amazing lol come canada would anything see perform,2
picked blackberry middle street crushed,0
feeling packing hitting sfo around time year think missing something,1
bed time hope go school tomorrow though dont feel well right,1
ahh well hoping could learn stuff way work separate thing also,2
problem photo twitter amfcant see face,0
oh noooo blow tire youre reaaaally going send batman smoke,1
wnna take bath,1
chocolate milk much better straw lack said straw,1
tired,0
time diff ive wrapped day day stuff havent tweeting talk soonmust sleepup hr,1
way damn suck b ok,0
suck able take day work money take trip sad,0
bedsorta today good sara strep thought angelina shared water b told prob get,2
recession hotel restructuring account done add bit pressure short term well cope,0
got dibs sulu,1
aww onward upwards yay still sad leave bet,1
haha poor aby still get sore,0
diesel yaris mpg sad available u thatd awesome,1
want buy great album unfortunately dont hav enuff fund quotlong time noisyquot,2
honestypain blech,1
ok passenger one alive theyre dead dont know til end cry,0
home alone much,1
ia much havent really happy cook choice single,0
fell asleep beach didnt put enough sunscreen lol,2
think son might flu cause def cleaned stanky puke mess poor pumkpin,0
great see oin amp cynthia happy dinner great cute little place bad oin got sick afterwards,2
cant give bday nudge,1
woman transfer first impression sexualmaternal onto le threatening man weak,0
brother bloom wont opening weekend el paso ill buy brick enjoy watch brother bloom,1
say miss plurking,1
bitten blood cat way rabies bacterin seems shot month never wash cat home hate water,0
miss voobys,1
monk neither elp,1
dude favorite sandwich place ever ummm take picture,2
sad shin ae got marriedand wasnt alex,0
sure tweet youre back news abuzz tr knight leaving quotconfirmedquot today muy triste,2
ohh thursday exam day wednesday,1
mix dentist appt afternoon rescheduled tomorrow,1
thinking excited guy move realized sad see go,1
goooood mooorning people sun definitly spring first spring hail storm car dimple,1
love itsakey usb stick gb australia,2
fresh prince sleepy sleep nightly routine gotta go dmv early tmrw,2
dammit hulu desktop totally screwed ability talk particular port one dev server cant watch code,1
jealous mom talking want see twittering making miss,0
cant sleepi keep thinking puppy played today,2
suppposed sleep got much amp got one part song stuck head quotyour jerk iknowquot blaahh,0
whats going sweetheart,2
freaking difficult get systemwide spellchecker shit id settle office suite one stupid unhelpful window,0
last one month due summer strawberry availble chennai market,1
work gotta go bed soon,1
correct adore plucked put arm cuz cryin better hahaha,2
hiii ipodi cant fall asleep,1
dont wanna work tomorrow get paid,1
feel sad coz wasnt able play guy,0
princecharming,1
cayogial wanted come bz summer sure anymore teacher life summer suck,1
first ever dropped call mobile call le charged data even though data pack,1
win sigh rakeem,2
oh time real,1
darn allergy dont like time year never used problem either,1
oh one minute late oh well,1
star damn suck,0
wanted come bz summer sure anymore teacher life summer suck,1
website gave virus opened window kept popping,1
ahh big scary bug flying around room,0
wish knew put throughshe stole heart never gave backand occasionally like like look,2
nasty cough cant sick huge weekend ahead,0
stone cold crazy,0
tired,0
shift time bbye biochem waaaaahhhhhh,1
sure cum play workin til midnight,2
second wish rained,2
early happy day birth case dont make tired therapy today taking medicine misshu love ya,2
damn eric anyone else need hair played,1
feel deflated ugh dog,0
allergy suck duck nut ltgt,0
well almost good day guess retry tomorrow,2
waraku tasteless expensive portion little waraku,1
sound good appreciate suggestion week still offline time ask refund,2
died wait magic jack read,0
youstinkatrespondingtotexts,1
wonder karma point turned,1
